DateTime,Entries,UniqueIPs
1498179833,36533,36533
1498180717,36628,36628
1498182125,36530,36530
1498184127,36504,36504
1498185007,36328,36328
1498185741,36409,36409
1498187646,36391,36391
1498188721,36275,36275
1498189608,36362,36362
1498191605,36386,36386
1498192486,36309,36309
1498193451,36312,36312
1498194304,36264,36264
1498195205,36380,36380
1498196116,36281,36281
1498197365,36422,36422
1498198805,36382,36382
1498200007,35978,35978
1498200964,36066,36066
1498201828,35855,35855
1498203006,35526,35526
1498203924,35609,35609
1498205105,35286,35286
1498206005,35430,35430
1498207352,35096,35096
1498208166,35229,35229
1498209028,34775,34775
1498210103,34936,34936
1498210937,34525,34525
1498211879,34654,34654
1498212906,34294,34294
1498213713,34390,34390
1498215649,33685,33685
1498216518,33802,33802
1498217406,33475,33475
1498218322,33595,33595
1498219199,33294,33294
1498220106,33397,33397
1498221726,33042,33042
1498223147,32803,32803
1498224005,32882,32882
1498225337,32503,32503
1498226320,32314,32314
1498228264,31980,31980
1498229108,32048,32048
1498231015,31654,31654
1498232405,31445,31445
1498233753,31326,31326
1498234695,31409,31409
1498236126,31253,31253
1498237189,31066,31066
1498238580,31159,31159
1498240482,31086,31086
1498241405,30932,30932
1498243325,30859,30859
1498244142,30914,30914
1498245354,30724,30724
1498246901,30598,30598
1498247843,30699,30699
1498249119,30580,30580
1498250534,30407,30407
1498251365,30469,30469
1498252239,30373,30373
1498253285,30461,30461
1498255450,30271,30271
1498256406,30345,30345
1498257266,30245,30245
1498259115,30272,30272
1498259669,30318,30318
1498260606,30227,30227
1498261345,30288,30288
1498263245,30234,30234
1498264362,30147,30147
1498265782,30267,30267
1498267205,30229,30229
1498268064,30097,30097
1498269321,30181,30181
1498270206,30073,30073
1498272005,30070,30070
1498273521,30065,30065
1498274405,30151,30151
1498275605,30028,30028
1498276530,30101,30101
1498277405,30070,30070
1498279065,30064,30064
1498280129,30151,30151
1498281219,30095,30095
1498282205,30043,30043
1498282932,30083,30083
1498283779,30136,30136
1498284605,30042,30042
1498285468,30091,30091
1498286036,29996,29996
1498287532,29966,29966
1498288805,30037,30037
1498290324,29988,29988
1498291122,29948,29948
1498292106,29987,29987
1498293725,29881,29881
1498295114,29851,29851
1498295975,29900,29900
1498297071,29822,29822
1498298705,29790,29790
1498299606,29843,29843
1498300807,29778,29778
1498301764,29839,29839
1498302614,29735,29735
1498303806,29689,29689
1498304722,29729,29729
1498305904,29646,29646
1498306445,29684,29684
1498307830,29461,29461
1498309054,29552,29552
1498310405,29434,29434
1498311920,29336,29336
1498314005,29299,29299
1498314981,29164,29164
1498318205,28993,28993
1498319118,29043,29043
1498320305,28952,28952
1498321218,29001,29001
1498322165,28828,28828
1498323916,28766,28766
1498324805,28824,28824
1498326325,28663,28663
1498328405,28589,28589
1498329726,28433,28433
1498330581,28498,28498
1498331412,28397,28397
1498333347,28267,28267
1498335245,28151,28151
1498336671,28029,28029
1498337912,27940,27940
1498339737,28042,28042
1498340714,27904,27904
1498342890,27855,27855
1498344005,27741,27741
1498344905,27788,27788
1498345793,27662,27662
1498347006,27550,27550
1498348544,27637,27637
1498349644,27505,27505
1498351205,27438,27438
1498354085,27451,27451
1498356605,27283,27283
1498358531,27206,27206
1498360803,27111,27111
1498362105,26986,26986
1498363504,26860,26860
1498370340,26451,26451
1498378021,8244,8244
1498379432,25696,25696
1498381005,25567,25567
1498382108,25626,25626
1498383305,25505,25505
1498384122,25548,25548
1498386005,25428,25428
1498387506,25321,25321
1498388438,24942,24942
1498389630,25018,25018
1498390505,24747,24747
1498392344,24668,24668
1498393671,24755,24755
1498395365,24685,24685
1498396275,24590,24590
1498398411,24557,24557
1498400105,24581,24581
1498401539,24462,24462
1498402660,24538,24538
1498403877,24499,24499
1498405205,24421,24421
1498406438,24346,24346
1498407305,24407,24407
1498408112,24460,24460
1498410001,24323,24323
1498411685,24421,24421
1498412723,24350,24350
1498413638,24248,24248
1498414817,24300,24300
1498416305,24268,24268
1498417478,24159,24159
1498418293,24212,24212
1498419925,24080,24080
1498421177,24043,24043
1498422742,23950,23950
1498423582,23986,23986
1498424447,23868,23868
1498426205,23855,23855
1498427189,23916,23916
1498428906,23856,23856
1498430229,23753,23753
1498431365,23828,23828
1498432244,23700,23700
1498433105,23754,23754
1498434004,23670,23670
1498435505,23611,23611
1498436409,23657,23657
1498436888,23685,23685
1498437913,23550,23550
1498439551,23559,23559
1498440605,23503,23503
1498441626,23585,23585
1498443518,23555,23555
1498444932,23473,23473
1498445809,23524,23524
1498446605,23409,23409
1498447443,23474,23474
1498448406,23381,23381
1498449888,23291,23291
1498450805,23337,23337
1498451705,23249,23249
1498452128,23275,23275
1498452926,23320,23320
1498453805,23232,23232
1498454711,23297,23297
1498455726,23231,23231
1498457120,23197,23197
1498458005,23263,23263
1498458905,23209,23209
1498460165,23309,23309
1498461306,23269,23269
1498462928,23280,23280
1498464845,23327,23327
1498467005,23402,23402
1498467366,23439,23439
1498468445,23442,23442
1498469728,23471,23471
1498470607,23574,23574
1498470967,23630,23630
1498471877,23587,23587
1498473078,23648,23648
1498474565,23835,23835
1498475645,23835,23835
1498476735,23826,23826
1498477777,23939,23939
1498478196,23989,23989
1498479306,23983,23983
1498480508,24047,24047
1498481457,24148,24148
1498482695,24133,24133
1498483736,24221,24221
1498484769,24222,24222
1498486505,24231,24231
1498488453,24290,24290
1498490105,24366,24366
1498490913,24438,24438
1498492565,24410,24410
1498493406,24418,24418
1498494493,24523,24523
1498496332,24473,24473
1498498099,24653,24653
1498499107,24611,24611
1498500078,24644,24644
1498500846,24735,24735
1498503540,24874,24874
1498504445,24981,24981
1498506611,25103,25103
1498507789,25112,25112
1498509069,25145,25145
1498509735,25189,25189
1498510565,25281,25281
1498511405,25260,25260
1498513016,25329,25329
1498514684,25401,25401
1498515246,25472,25472
1498516178,25441,25441
1498517705,25603,25603
1498518604,25598,25598
1498520528,25660,25660
1498521364,25762,25762
1498522210,25721,25721
1498523410,25671,25671
1498524137,25706,25706
1498525045,25813,25813
1498526105,25821,25821
1498527019,25798,25798
1498527735,25883,25883
1498529407,25945,25945
1498531335,25983,25983
1498533020,26067,26067
1498534811,26173,26173
1498535704,26279,26279
1498536621,26263,26263
1498537693,26374,26374
1498538716,26360,26360
1498539751,26414,26414
1498540810,26523,26523
1498541705,26511,26511
1498542125,26551,26551
1498543810,26635,26635
1498544818,26750,26750
1498545730,26735,26735
1498547645,26937,26937
1498548619,26979,26979
1498549509,27103,27103
1498550523,27092,27092
1498551245,27199,27199
1498552284,27236,27236
1498553460,27361,27361
1498554611,27458,27458
1498556535,27558,27558
1498557646,27617,27617
1498558506,27724,27724
1498559293,27835,27835
1498560129,27838,27838
1498561447,28061,28061
1498562365,28209,28209
1498563305,28191,28191
1498564342,28309,28309
1498565412,28385,28385
1498566613,28452,28452
1498567815,28613,28613
1498568660,28591,28591
1498569605,28716,28716
1498570811,28752,28752
1498571766,28892,28892
1498572611,28914,28914
1498572851,28943,28943
1498573704,29076,29076
1498574716,29101,29101
1498575718,29143,29143
1498576761,29312,29312
1498577706,29364,29364
1498578127,29391,29391
1498578965,29509,29509
1498579813,29533,29533
1498580045,29576,29576
1498580945,29701,29701
1498581946,29707,29707
1498583645,29854,29854
1498584636,29916,29916
1498585579,30431,30431
1498587245,30528,30528
1498588221,30540,30540
1498590330,30658,30658
1498591205,30766,30766
1498592130,30784,30784
1498593037,30870,30870
1498595075,30938,30938
1498596908,30985,30985
1498597805,30980,30980
1498598734,31083,31083
1498599611,31050,31050
1498600412,31124,31124
1498601234,31119,31119
1498602485,31241,31241
1498603508,31198,31198
1498605005,31244,31244
1498606206,31252,31252
1498606935,31288,31288
1498607764,31380,31380
1498608610,31373,31373
1498610531,31388,31388
1498612205,31461,31461
1498613406,31443,31443
1498615807,31579,31579
