DateTime,Entries,UniqueIPs
1498339322,22733,23449
1498339922,22733,23449
1498340522,22733,23448
1498341121,22735,23450
1498341721,22735,23449
1498342321,22738,23452
1498342921,22739,23453
1498343522,22735,23450
1498344121,22734,23449
1498344721,22738,23454
1498345922,22739,23455
1498347121,22739,23456
1498347722,22735,23452
1498349522,22734,23451
1498350122,22731,23448
1498352521,22732,23449
1498353722,22731,23449
1498354322,22732,23450
1498354922,22731,23449
1498355522,22731,23449
1498356721,22729,23445
1498357321,22730,23446
1498359722,22734,23450
1498360322,22740,23456
1498361522,22733,23449
1498362723,22735,23451
1498363321,22734,23450
1498363921,22733,23449
1498364521,22734,23450
1498365721,22735,23451
1498366322,22732,23448
1498366922,22731,23447
1498367522,22731,23447
1498368122,22729,23445
1498368722,22727,23443
1498369322,22728,23445
1498371722,22729,23446
1498372322,22727,23444
1498372921,22728,23445
1498373522,22725,23440
1498374121,22725,23440
1498375321,22725,23438
1498375922,22726,23439
1498377122,22728,23441
1498377723,22727,23440
1498378922,22722,23435
1498380122,22724,23437
1498380722,22723,23436
1498381321,22724,23437
1498382522,22726,23439
1498383123,22725,23438
1498383722,22724,23437
1498385521,22723,23436
1498386122,22722,23435
1498386722,22723,23436
1498387322,22724,23437
1498387921,22723,23436
1498388521,22723,23436
1498389121,22721,23434
1498389722,22719,23430
1498390922,22717,23428
1498392722,22715,23426
1498393322,22717,23428
1498394522,22720,23431
1498395122,22724,23435
1498396322,22725,23433
1498396921,22726,23434
1498398122,22721,23429
1498398722,22722,23430
1498400521,22719,23428
1498401122,22717,23425
1498401722,22718,23426
1498404122,22714,23422
1498404721,22715,23423
1498405321,22713,23419
1498405921,22714,23420
1498406522,22710,23416
1498407121,22711,23417
1498407722,22712,23418
1498408921,22714,23420
1498410122,22709,23415
1498410721,22710,23417
1498412522,22712,23419
1498413721,22709,23416
1498414922,22703,23408
1498415522,22703,23410
1498416121,22706,23414
1498416722,22707,23415
1498417322,22705,23413
1498417922,22707,23415
1498418521,22705,23413
1498419721,22700,23405
1498420921,22698,23402
1498421522,22702,23406
1498422122,22704,23408
1498422721,22703,23407
1498423322,22706,23409
1498423922,22702,23405
1498424522,22704,23407
1498425121,22700,23402
1498425721,22702,23404
1498426322,22702,23404
1498426922,22705,23407
1498427522,22706,23408
1498428121,22709,23411
1498428722,22713,23414
1498429322,22715,23416
1498429923,22715,23416
1498431122,22715,23416
1498431722,22715,23416
1498432322,22720,23421
1498432921,22719,23421
1498433522,22720,23422
1498434121,22723,23425
1498435322,22723,23423
1498435922,22725,23425
1498436521,22729,23429
1498437121,22731,23432
1498437722,22732,23433
1498438322,22730,23430
1498438922,22732,23432
1498440722,22733,23435
1498441322,22735,23437
1498443122,22737,23439
1498443721,22736,23438
1498444322,22737,23439
1498445521,22734,23435
1498446722,22732,23433
1498447322,22733,23434
1498449721,22728,23429
1498450322,22728,23428
1498450922,22727,23427
1498451521,22728,23428
1498452122,22730,23430
1498452722,22729,23430
1498453322,22730,23431
1498454522,22723,23424
1498456922,22723,23425
1498457522,22725,23427
1498458121,22725,23425
1498459922,22724,23424
1498460522,22723,23425
1498461122,22717,23419
1498462321,22719,23421
1498463521,22718,23420
1498464121,22718,23420
1498464722,22721,23423
1498465321,22723,23425
1498466522,22725,23426
1498467123,22724,23425
1498467722,22720,23421
1498468921,22724,23425
1498471322,22725,23427
1498471922,22726,23428
1498472522,22724,23426
1498474322,22725,23427
1498474923,22726,23428
1498475522,22723,23425
1498476121,22723,23425
1498476721,22723,23427
1498477322,22719,23423
1498477921,22721,23425
1498478522,22719,23423
1498479123,22719,23423
1498480321,22721,23425
1498480921,22722,23426
1498481521,22723,23427
1498482122,22722,23426
1498483322,22726,23418
1498483921,22728,23420
1498485122,22730,23422
1498485722,22731,23420
1498486322,22737,23419
1498486921,22743,23407
1498488121,22740,23404
1498489321,22744,23395
1498489923,22741,23389
1498491122,22745,23385
1498491722,22746,23378
1498492322,22747,23377
1498493522,22744,23346
1498494721,22737,23323
